bar_prev,bar_curr,mode,inter_distance,dist_before_prev,dist_after_prev,dist_before_curr,return_long,return_short,mae_long,mae_short,prev_val_small,prev_val_large,prev_above_zero_small,prev_above_zero_large,prev_cross_up,prev_small_slope,prev_large_slope,prev_amp_small,prev_amp_large,prev_atr,prev_composite,prev_pr_status,prev_pr_peak,prev_pr_trough,curr_val_small,curr_val_large,curr_above_zero_small,curr_above_zero_large,curr_cross_up,curr_small_slope,curr_large_slope,curr_amp_small,curr_amp_large,curr_atr,curr_composite,curr_pr_status,curr_pr_peak,curr_pr_trough,asset
39514,40303,norm,789,0.1593430949488553,0.1348657779651093,0.067868035710522,-10.0656455142232,10.0656455142232,10.328227571115978,0.4376367614879661,0.3513117760560837,0.3544874523386678,True,True,False,-0.0099385614476681,0.0012565755042915,2.0856959557317103e-05,8.22008073524332e-05,5.142857142857206e-06,-0.0111951369519597,neutral,False,False,-0.5701473671603018,-0.5714137347168808,False,False,True,0.0013804228401595,-0.0028974149915852,8.777139541828889e-05,3.5615849412780175e-05,5.571428571428506e-06,-0.0042778378317447,neutral,False,False,BOME_USDT
40303,42085,norm,1782,0.067868035710522,0.0697403041348921,0.1571939882534512,-2.822384428223839,2.822384428223839,7.250608272506084,2.9683698296836916,-0.5701473671603018,-0.5714137347168808,False,False,True,0.0013804228401595,-0.0028974149915852,8.777139541828889e-05,3.5615849412780175e-05,5.571428571428506e-06,-0.0042778378317447,neutral,False,False,0.6052297899759294,0.6179825752435765,True,True,False,-0.0124964123949901,0.000235453013486,5.565196870264766e-06,8.006181981676576e-05,3.0714285714286075e-06,-0.0127318654084762,neutral,True,False,BOME_USDT
42085,42643,norm,558,0.1571939882534512,0.3283551918866296,0.0715183882421164,3.7556334501752615,-3.7556334501752615,4.456685027541317,4.556835252879315,0.6052297899759294,0.6179825752435765,True,True,False,-0.0124964123949901,0.000235453013486,5.565196870264766e-06,8.006181981676576e-05,3.0714285714286075e-06,-0.0127318654084762,neutral,True,False,0.3267796663083234,0.3259353279127347,True,True,True,0.0051235773043586,0.000800391336985,4.37571230359926e-05,3.319312968781813e-05,2.857142857142896e-06,0.0043231859673736,neutral,False,False,BOME_USDT
42643,43044,norm,401,0.0715183882421164,0.0574425949684498,0.0486253149930618,-2.7027027027027057,2.7027027027027057,4.198841698841712,1.0135135135135014,0.3267796663083234,0.3259353279127347,True,True,True,0.0051235773043586,0.000800391336985,4.37571230359926e-05,3.319312968781813e-05,2.857142857142896e-06,0.0043231859673736,neutral,False,False,0.8476954783236103,0.8505364247106698,True,True,False,-0.0024592375704319,0.000936372615817,4.293339557212512e-05,2.657626225373286e-05,2.571428571428634e-06,-0.003395610186249,neutral,False,False,BOME_USDT
3165,3723,norm,558,0.162755686502221,0.1360654647759326,0.055365248123057,-0.3525954946131073,0.3525954946131073,0.3525954946131073,1.4299706170421322,0.57587573997974,0.5740481615438778,True,True,True,0.007535691542509,-0.0030138635449658,0.0020260153249924,0.0030484022683204,0.0003857142857142,0.0105495550874748,neutral,False,False,0.2582772924758946,0.2583245515582276,True,True,False,-0.0029238970461154,0.0007719311139853,0.0062345216566627,0.0029927641564841,0.0002642857142857,-0.0036958281601007,os_trend_start,False,True,CRV_USDT
3723,4447,norm,724,0.055365248123057,0.0578625435652078,0.1989564269413091,1.238450953410649,-1.238450953410649,1.2777668566935445,1.8281895026538184,0.2582772924758946,0.2583245515582276,True,True,False,-0.0029238970461154,0.0007719311139853,0.0062345216566627,0.0029927641564841,0.0002642857142857,-0.0036958281601007,os_trend_start,False,True,-0.1008127474122601,-0.1062824349406317,False,False,True,0.0133450020318319,-0.0003840707881457,0.0019612668264173,0.0036470444769852,0.0003285714285714,-0.0137290728199777,neutral,False,False,CRV_USDT
4447,5137,norm,690,0.1989564269413091,0.1952431064830062,0.0776215690935689,0.3495145631068007,-0.3495145631068007,0.8349514563106739,1.1844660194174743,-0.1008127474122601,-0.1062824349406317,False,False,True,0.0133450020318319,-0.0003840707881457,0.0019612668264173,0.0036470444769852,0.0003285714285714,-0.0137290728199777,neutral,False,False,-0.2782525467839292,-0.2769309892448026,False,False,False,-0.0026283597001617,0.0026819743931862,0.0033939493745231,0.0019211680965914,0.0005999999999999,0.0053103340933479,neutral,False,True,CRV_USDT
5137,5799,norm,662,0.0776215690935689,0.0826505503153121,0.0769165274070836,-0.9674922600619202,0.9674922600619202,2.1284829721362244,0.0580495356037087,-0.2782525467839292,-0.2769309892448026,False,False,False,-0.0026283597001617,0.0026819743931862,0.0033939493745231,0.0019211680965914,0.0005999999999999,0.0053103340933479,neutral,False,True,-0.2018186730351036,-0.2060480964568842,False,False,True,0.0017507366874874,-0.0038148969994913,0.0014018234167769,0.00158934666252,0.0004857142857142,-0.0055656336869788,neutral,False,False,CRV_USDT
5799,6323,norm,524,0.0769165274070836,0.0852778480785905,0.0388862786635779,0.0390777647518518,-0.0390777647518518,0.3516998827667104,5.138726064869087,-0.2018186730351036,-0.2060480964568842,False,False,True,0.0017507366874874,-0.0038148969994913,0.0014018234167769,0.00158934666252,0.0004857142857142,-0.0055656336869788,neutral,False,False,0.3902885317373028,0.3903592910750433,True,True,False,-0.0039122312463193,-0.0011561367859577,0.0065228949623011,0.0029445738597663,0.0005428571428571,-0.0027560944603616,neutral,False,False,CRV_USDT
6323,6891,norm,568,0.0388862786635779,0.0407365931812625,0.0435651367525007,-1.7968749999999971,1.7968749999999971,2.500000000000006,0.3124999999999873,0.3902885317373028,0.3903592910750433,True,True,False,-0.0039122312463193,-0.0011561367859577,0.0065228949623011,0.0029445738597663,0.0005428571428571,-0.0027560944603616,neutral,False,False,-0.8980461849581644,-0.8989571446304242,False,False,True,0.0014531461094151,-0.0014241783657677,0.0102722277994793,0.0042487367574679,0.0011071428571428,-0.0028773244751828,neutral,False,False,CRV_USDT
